timestamp,tier,phase,harpoon_pid,harpoon_rss_kib,harpoon_cpu_pct,vm_pid,vm_rss_kib,vm_cpu_pct,combined_rss_kib,balloon_target_bytes
2026-08-26T13:11:38Z,512,idle-settled,94747,1760,0.0,94802,265920,0.6,267680,
2026-08-26T13:11:49Z,512,hold-5s,94747,1760,0.0,94802,342640,1.3,344400,
2026-08-26T13:12:01Z,512,hold-10s,94747,1568,0.0,94802,153552,1.3,155120,
2026-08-26T13:12:33Z,512,hold-30s,94800,14736,2.3,94802,95632,1.0,110368,
2026-08-26T13:12:37Z,512,release-immediate,94800,14768,1.6,94802,170608,1.0,185376,
2026-08-26T13:12:52Z,512,release-10s,94800,14528,1.9,94802,84752,1.0,99280,
