timestamp,tier,variant,phase,harpoon_pid,harpoon_rss_kib,harpoon_cpu_pct,harpoon_threads,harpoon_fds,vm_pid,vm_rss_kib,vm_cpu_pct,vm_threads,vm_fds,combined_rss_kib
2026-08-26T05:04:15Z,1024,before,idle-2,48180,14912,0.6,5,17,,,,,,14912
2026-08-26T05:04:22Z,1024,before,idle-3,48180,14928,0.7,6,17,,,,,,14928
2026-08-26T05:04:29Z,1024,before,idle-4,48180,14736,0.8,4,17,,,,,,14736
2026-08-26T05:04:35Z,1024,before,idle-5,48180,14736,1.0,5,17,,,,,,14736
2026-08-26T05:04:42Z,1024,before,idle-6,48180,14720,0.7,7,17,,,,,,14720
2026-08-26T05:05:49Z,1024,before,mem-idle,48180,14320,1.5,4,17,,,,,,14320
2026-08-26T05:05:55Z,1024,before,mem-load,48180,14832,1.3,7,17,,,,,,14832
2026-08-26T05:06:01Z,1024,before,mem-hold10,48180,14864,1.4,6,17,,,,,,14864
2026-08-26T05:06:12Z,1024,before,mem-hold30,48180,14672,1.2,7,17,,,,,,14672
2026-08-26T05:06:16Z,1024,before,mem-release,48180,14768,1.0,5,17,,,,,,14768
2026-08-26T05:06:28Z,1024,before,mem-after10,48180,14672,1.4,3,17,,,,,,14672
2026-08-26T05:06:49Z,1024,before,mem-after30,48180,14416,0.8,4,17,,,,,,14416
2026-08-26T05:07:00Z,1024,before,compose-up,48180,15104,3.0,7,49,,,,,,15104
2026-08-26T05:08:18Z,1024,after,idle-1,51007,14576,1.5,4,17,,,,,,14576
2026-08-26T05:08:25Z,1024,after,idle-2,51007,14832,1.3,5,17,,,,,,14832
2026-08-26T05:08:32Z,1024,after,idle-3,51007,14960,0.9,6,17,,,,,,14960
2026-08-26T05:08:38Z,1024,after,idle-4,51007,14656,1.6,4,17,,,,,,14656
2026-08-26T05:08:45Z,1024,after,idle-5,51007,14608,0.8,5,17,,,,,,14608
2026-08-26T05:08:51Z,1024,after,idle-6,51007,14624,1.1,5,17,,,,,,14624
2026-08-26T05:09:58Z,1024,after,mem-idle,51007,14464,0.9,4,17,,,,,,14464
2026-08-26T05:10:04Z,1024,after,mem-load,51007,14976,1.1,8,17,,,,,,14976
2026-08-26T05:10:10Z,1024,after,mem-hold10,51007,14912,1.7,6,29,,,,,,14912
2026-08-26T05:10:22Z,1024,after,mem-hold30,51007,14944,1.1,7,17,,,,,,14944
2026-08-26T05:10:26Z,1024,after,mem-release,51007,14976,1.0,7,17,,,,,,14976
2026-08-26T05:10:37Z,1024,after,mem-after10,51007,14736,0.8,3,17,,,,,,14736
2026-08-26T05:10:58Z,1024,after,mem-after30,51007,13952,0.5,3,29,,,,,,13952
2026-08-26T05:11:09Z,1024,after,compose-up,51007,15040,1.3,5,31,,,,,,15040
