tier,iter,status,duration_s
512,1,PASS,0.4273338317871094
512,2,PASS,0.425260066986084
512,3,PASS,0.46146392822265625
512,4,PASS,0.43128204345703125
512,5,PASS,0.4677448272705078
512,6,PASS,0.44991207122802734
512,7,PASS,0.47888612747192383
512,8,PASS,0.4426560401916504
512,9,PASS,0.431765079498291
512,10,PASS,0.44708895683288574
512,hello-1,PASS,0.4542980194091797
512,hello-2,PASS,0.43758201599121094
512,hello-3,PASS,0.42256784439086914
512,hello-4,PASS,0.431196928024292
512,hello-5,PASS,0.4303929805755615
768,1,PASS,0.5403108596801758
768,2,PASS,0.44547200202941895
768,3,PASS,0.42421698570251465
768,4,PASS,0.4480478763580322
768,5,PASS,0.45321083068847656
768,6,PASS,0.4592468738555908
768,7,PASS,0.4322659969329834
768,8,PASS,0.4052908420562744
768,9,PASS,0.4158940315246582
768,10,PASS,0.49045705795288086
768,hello-1,PASS,0.4255990982055664
768,hello-2,PASS,0.42864418029785156
768,hello-3,PASS,0.4258310794830322
768,hello-4,PASS,0.4393160343170166
768,hello-5,PASS,0.46124792098999023
1024,1,PASS,0.4412829875946045
1024,2,PASS,0.42923498153686523
1024,3,PASS,0.4298820495605469
1024,4,PASS,0.39592409133911133
1024,5,PASS,0.5596058368682861
1024,6,PASS,0.51888108253479
1024,7,PASS,0.442486047744751
1024,8,PASS,0.4014780521392822
1024,9,PASS,0.4166829586029053
1024,10,PASS,0.4607810974121094
1024,hello-1,PASS,0.44179201126098633
1024,hello-2,PASS,0.45291805267333984
1024,hello-3,PASS,0.41243600845336914
1024,hello-4,PASS,0.3785109519958496
1024,hello-5,PASS,0.4388458728790283
